2016-12-17 16:56:47,201 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.dextraining:Curso_Java_Aula_2:0.0.1-SNAPSHOT @ /home/java03/CursoJava/Curso_Java_Aula_2/pom.xml.
2016-12-17 16:56:47,202 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.dextraining:Curso_Java_Aula_2:0.0.1-SNAPSHOT @ /home/java03/CursoJava/Curso_Java_Aula_2/pom.xml.
2016-12-17 16:56:48,639 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.dextraining:Curso_Java_Aula_2:0.0.1-SNAPSHOT @ /home/java03/CursoJava/Curso_Java_Aula_2/pom.xml.
2016-12-17 16:56:48,684 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.dextraining:Curso_Java_Aula_3:0.0.1-SNAPSHOT @ /home/java03/CursoJava/Curso_Java_Aula_3/pom.xml.
2016-12-17 16:56:48,723 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 16:56:48,759 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-17 16:56:48,779 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 16:56:48,779 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-17 16:56:48,785 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.dextraining:Curso_Java_Aula_2:0.0.1-SNAPSHOT @ /home/java03/CursoJava/Curso_Java_Aula_2/pom.xml.
2016-12-17 16:56:48,959 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.dextraining:Curso_Java_Aula_3:0.0.1-SNAPSHOT @ /home/java03/CursoJava/Curso_Java_Aula_3/pom.xml.
2016-12-17 16:56:49,374 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.dextraining:Curso_Java_Aula_3:0.0.1-SNAPSHOT @ /home/java03/CursoJava/Curso_Java_Aula_3/pom.xml.
